,Index,Price,Time Insulated,Capacity,Cleanability,Containment,Market Share,Margin,Expected Profit per Person
214,215,5,1.0,32,Easy,Spill resistant,0.3887942122186495,-2.5999999999999996,-1.0108649517684887
215,216,5,1.0,32,Easy,Leak resistant,0.45890675241157547,-2.8,-1.2849389067524113
216,217,5,3.0,12,Difficult,Slosh resistant,0.067491961414791,-0.5,-0.0337459807073955
217,218,5,3.0,12,Difficult,Spill resistant,0.14403536977491962,-0.7999999999999998,-0.11522829581993567
218,219,5,3.0,12,Difficult,Leak resistant,0.16754019292604505,-1.0,-0.16754019292604505
219,220,5,3.0,12,Fair,Slosh resistant,0.21130225080385853,-1.7000000000000002,-0.3592138263665595
220,221,5,3.0,12,Fair,Spill resistant,0.43938906752411566,-2.0,-0.8787781350482313
221,222,5,3.0,12,Fair,Leak resistant,0.5007717041800643,-2.2,-1.1016977491961417
222,223,5,3.0,12,Easy,Slosh resistant,0.21080385852090033,-2.5,-0.5270096463022509
223,224,5,3.0,12,Easy,Spill resistant,0.4398553054662379,-2.8,-1.231594855305466
224,225,5,3.0,12,Easy,Leak resistant,0.5011736334405145,-3.0,-1.5035209003215435
225,226,5,3.0,20,Difficult,Slosh resistant,0.08988745980707395,-2.0999999999999996,-0.18876366559485527
226,227,5,3.0,20,Difficult,Spill resistant,0.18154340836012858,-2.3999999999999995,-0.4357041800643085
227,228,5,3.0,20,Difficult,Leak resistant,0.20660771704180061,-2.5999999999999996,-0.5371800643086815
228,229,5,3.0,20,Fair,Slosh resistant,0.25242765273311896,-3.3000000000000007,-0.8330112540192928
229,230,5,3.0,20,Fair,Spill resistant,0.5428242229367632,-3.5999999999999996,-1.9541672025723476
230,231,5,3.0,20,Fair,Leak resistant,0.6145444801714898,-3.8000000000000007,-2.3352690246516614
231,232,5,3.0,20,Easy,Slosh resistant,0.25282958199356914,-4.1,-1.0366012861736333
232,233,5,3.0,20,Easy,Spill resistant,0.5508628081457664,-4.4,-2.423796355841372
233,234,5,3.0,20,Easy,Leak resistant,0.6223740621650589,-4.6,-2.8629206859592706
234,235,5,3.0,32,Difficult,Slosh resistant,0.07146302250803858,-2.3,-0.16436495176848873
235,236,5,3.0,32,Difficult,Spill resistant,0.15202572347266882,-2.5999999999999996,-0.39526688102893887
236,237,5,3.0,32,Difficult,Leak resistant,0.17829581993569135,-2.8,-0.4992282958199358
237,238,5,3.0,32,Fair,Slosh resistant,0.2108681672025724,-3.5,-0.7380385852090035
238,239,5,3.0,32,Fair,Spill resistant,0.4212540192926045,-3.8000000000000007,-1.6007652733118973
239,240,5,3.0,32,Fair,Leak resistant,0.4912700964630225,-4.0,-1.96508038585209
240,241,5,3.0,32,Easy,Slosh resistant,0.2102090032154341,-4.300000000000001,-0.9038987138263668
241,242,5,3.0,32,Easy,Spill resistant,0.42929260450160767,-4.600000000000001,-1.974745980707396
242,243,5,3.0,32,Easy,Leak resistant,0.49938906752411577,-4.800000000000001,-2.397067524115756
